Method,Root,Iterations,FuncCalls,Time,Error
Bisection,2.40479294,18,20,0.000000,3.26e-05
Bisection,7.99999939,18,20,0.000000,6.54e-01
Bisection,8.65372849,18,20,0.000000,5.72e-07
Linear Interp,2.40479262,4,6,0.000000,3.29e-05
Linear Interp,8.00000270,41,43,0.000000,6.54e-01
Linear Interp,8.65372791,4,6,0.000000,6.03e-10
Secant,298.24318987,100,102,0.000000,2.90e+02
Secant,25.11227539,100,102,0.000000,1.65e+01
Newton-Raphson,2.40479260,3,6,0.000000,3.30e-05
Newton-Raphson,8.65372791,10,20,0.000000,5.75e-10
Newton-Raphson,8.65372791,2,4,0.000000,5.75e-10
Newton w/Bracket,2.40479260,3,8,0.000000,3.30e-05
Newton w/Bracket,8.00000008,18,38,0.000000,6.54e-01
Newton w/Bracket,8.65372791,2,6,0.000000,5.75e-10
Muller,2.40479260,3,5,0.000000,3.30e-05
Muller,8.65372791,7,9,0.000000,5.75e-10
Muller,8.65372791,3,5,0.000000,5.75e-10
